Linux 7.2.0-rc5-virtme (virtme-ng) 	08/01/26 	_x86_64_	(12 CPU)

20:04:59     %scpu-10  %scpu-60 %scpu-300     %scpu
20:29:40         0.00      0.00      0.00      0.23
20:29:45         0.00      0.00      0.00      0.05
20:29:50         0.00      0.00      0.00      0.16
20:29:55         0.00      0.00      0.00      0.07
20:30:00         0.00      0.00      0.00      0.16
20:30:05         0.00      0.00      0.00      0.24
20:30:10         0.00      0.00      0.00      0.23
20:30:15         0.00      0.00      0.00      0.19
20:30:20         0.00      0.00      0.00      0.23
20:30:25         0.00      0.00      0.00      0.15
20:30:30         0.00      0.00      0.00      0.09
20:30:35         0.00      0.00      0.00      0.29
20:30:40         0.00      0.00      0.00      0.19
20:30:45         0.00      0.00      0.00      0.23
20:30:50         0.00      0.00      0.00      0.14
20:30:55         0.00      0.00      0.00      0.18
20:31:00         0.00      0.00      0.00      0.06
20:31:05         0.00      0.00      0.00      0.00
20:31:10         0.00      0.00      0.00      0.00
20:31:15         0.00      0.00      0.00      0.02
20:31:20         0.00      0.00      0.00      0.07
20:31:25         0.00      0.00      0.00      0.65
20:31:30         0.00      0.00      0.00      0.15
20:31:35         0.00      0.00      0.00      0.24
20:31:40         0.00      0.00      0.00      0.08
20:31:45         0.00      0.00      0.00      0.13
20:31:50         0.00      0.00      0.00      0.12
20:31:55         0.00      0.00      0.00      0.18
20:32:00         0.00      0.00      0.00      0.19
20:32:05         0.00      0.00      0.00      0.08
20:32:10         0.00      0.00      0.00      0.16
20:32:15         0.00      0.00      0.00      0.11
20:32:20         0.00      0.00      0.00      0.05
20:32:25         0.00      0.00      0.00      0.05
20:32:30         0.00      0.00      0.00      0.26
20:32:35         0.00      0.00      0.00      0.08
20:32:40         0.00      0.00      0.00      0.28
20:32:45         0.00      0.00      0.00      0.08
20:32:50         0.00      0.00      0.00      0.23
20:32:55         0.00      0.00      0.00      0.08
20:33:00         0.00      0.00      0.00      0.07
20:33:05         0.00      0.00      0.00      0.11
20:33:10         0.00      0.00      0.00      0.23
20:33:15         0.00      0.00      0.00      0.20
20:33:20         0.00      0.00      0.00      0.07
20:33:25         0.00      0.00      0.00      0.05
20:33:30         0.00      0.00      0.00      0.09
20:33:35         0.00      0.00      0.00      0.04
20:33:40         0.00      0.00      0.00      0.08
20:33:45         0.00      0.00      0.00      0.16
20:33:50         0.00      0.00      0.00      0.17
20:33:55         0.00      0.00      0.00      0.11
20:34:00         0.00      0.00      0.00      0.20
20:34:05         0.00      0.00      0.00      0.22
20:34:10         0.00      0.00      0.00      0.23
20:34:15         0.00      0.00      0.00      0.14
20:34:20         0.00      0.00      0.00      0.19
20:34:25         0.00      0.00      0.00      0.09
20:34:30         0.00      0.00      0.00      0.07
20:34:35         0.00      0.00      0.00      0.06
20:34:40         0.00      0.00      0.00      0.24
20:34:45         0.00      0.00      0.00      0.06
20:34:50         0.00      0.00      0.00      0.19
20:34:55         0.00      0.00      0.00      0.23
20:35:00         0.00      0.00      0.00      0.08
20:35:05         0.00      0.00      0.00      0.13
20:35:10         0.00      0.00      0.00      0.12
20:35:15         0.00      0.00      0.00      0.17
20:35:20         0.00      0.00      0.00      0.05
20:35:25         0.00      0.00      0.00      0.19
20:35:30         0.00      0.00      0.00      0.04
20:35:35         0.00      0.00      0.00      0.14
20:35:40         0.00      0.00      0.00      0.15
20:35:45         0.00      0.00      0.00      0.06
20:35:50         0.00      0.00      0.00      0.02
20:35:55         0.00      0.00      0.00      0.16
20:36:00         0.00      0.00      0.00      0.29
20:36:05         0.00      0.00      0.00      0.26
20:36:10         0.00      0.00      0.00      0.05
20:36:15         0.00      0.00      0.00      0.27
20:36:20         0.00      0.00      0.00      0.17
20:36:25         0.00      0.00      0.00      0.12
20:36:30         0.00      0.00      0.00      0.30
20:36:35         0.00      0.00      0.00      0.11
20:36:40         0.00      0.00      0.00      0.11
20:36:45         0.00      0.00      0.00      0.27
20:36:50         0.00      0.00      0.00      0.13
20:36:55         0.00      0.00      0.00      0.09
20:37:00         0.00      0.00      0.00      0.02
20:37:05         0.00      0.00      0.00      0.08
20:37:10         0.00      0.00      0.00      0.09
20:37:15         0.00      0.00      0.00      0.09
20:37:20         0.00      0.00      0.00      0.05
20:37:25         0.00      0.00      0.00      0.08
20:37:30         0.00      0.00      0.00      0.08
20:37:35         0.00      0.00      0.00      0.09
20:37:40         0.00      0.00      0.00      0.07
20:37:45         0.00      0.00      0.00      0.06
20:37:50         0.00      0.00      0.00      0.11
20:37:55         0.00      0.00      0.00      0.23
20:38:00         0.00      0.00      0.00      0.06
20:38:05         0.00      0.00      0.00      0.06
20:38:10         0.00      0.00      0.00      0.15
20:38:15         0.00      0.00      0.00      0.16
20:38:20         0.00      0.00      0.00      0.09
20:38:25         0.00      0.00      0.00      0.20
20:38:30         0.00      0.00      0.00      0.13
20:38:35         0.00      0.00      0.00      0.08
20:38:40         0.00      0.00      0.00      0.17
20:38:45         0.00      0.00      0.00      0.08
20:38:50         0.00      0.00      0.00      0.15
20:38:55         0.00      0.00      0.00      0.18
20:39:00         0.00      0.00      0.00      0.15
20:39:05         0.00      0.00      0.00      0.15
20:39:10         0.00      0.00      0.00      0.36
20:39:15         0.00      0.00      0.00      0.06
20:39:20         0.00      0.00      0.00      0.23
20:39:25         0.00      0.00      0.00      0.27
20:39:30         0.00      0.00      0.00      0.23
20:39:35         0.00      0.00      0.00      0.25
20:39:40         0.00      0.00      0.00      0.14
20:39:45         0.00      0.00      0.00      0.41
20:39:50         0.18      0.03      0.00      0.78
20:39:55         0.09      0.02      0.00      0.26
20:40:00         0.06      0.02      0.00      0.19
20:40:05         0.03      0.02      0.00      0.11
20:40:10         0.02      0.02      0.00      0.05
20:40:15         0.01      0.01      0.00      0.02
20:40:20         0.00      0.01      0.00      0.70
20:40:25         0.00      0.01      0.00      0.13
20:40:30         0.00      0.01      0.00      0.08
20:40:35         0.00      0.01      0.00      0.25
20:40:40         0.00      0.01      0.00      0.10
20:40:45         0.00      0.00      0.00      0.13
20:40:50         0.00      0.00      0.00      0.22
20:40:55         0.00      0.00      0.00      0.09
20:41:00         0.00      0.00      0.00      0.11
20:41:05         0.00      0.00      0.00      0.06
20:41:10         0.00      0.00      0.00      0.10
20:41:15         0.00      0.00      0.00      0.11
20:41:20         0.00      0.00      0.00      0.07
20:41:25         0.00      0.00      0.00      0.17
20:41:30         0.00      0.00      0.00      0.11
20:41:35         0.00      0.00      0.00      0.07
20:41:40         0.00      0.00      0.00      0.13
20:41:45         0.00      0.00      0.00      0.25
20:41:50         0.00      0.00      0.00      0.07
20:41:55         0.00      0.00      0.00      0.08
20:42:00         0.14      0.03      0.00      0.41
20:42:05         0.08      0.02      0.00      0.05
20:42:10         0.05      0.02      0.00      0.06
20:42:15         0.02      0.02      0.00      0.08
20:42:20         0.01      0.02      0.00      0.05
20:42:25         0.00      0.01      0.00      0.12
20:42:30         0.00      0.01      0.00      0.16
20:42:35         0.00      0.01      0.00      0.10
20:42:40         0.00      0.01      0.00      0.13
20:42:45         0.00      0.01      0.00      0.09
20:42:50         0.00      0.01      0.00      0.06
20:42:55         0.00      0.00      0.00      0.03
20:43:00         0.00      0.00      0.00      0.01
20:43:05         0.00      0.00      0.00      0.04
20:43:10         0.00      0.00      0.00      0.05
20:43:15         0.00      0.00      0.00      0.07
20:43:20         0.00      0.00      0.00      0.03
20:43:25         0.00      0.00      0.00      0.11
20:43:30         0.00      0.00      0.00      0.18
20:43:35         0.00      0.00      0.00      0.30
20:43:40         0.00      0.00      0.00      0.12
20:43:45         0.00      0.00      0.00      0.13
20:43:50         0.00      0.00      0.00      0.11
20:43:55         0.00      0.00      0.00      0.22
20:44:00         0.00      0.00      0.00      0.06
20:44:05         0.00      0.00      0.00      0.03
20:44:10         0.00      0.00      0.00      0.36
20:44:15         0.00      0.00      0.00      0.37
20:44:20         0.00      0.00      0.00      0.25
20:44:25         0.00      0.00      0.00      0.17
20:44:30         0.00      0.00      0.00      0.07
20:44:35         0.00      0.00      0.00      0.26
20:44:40         0.00      0.00      0.00      0.09
20:44:45         0.00      0.00      0.00      0.17
20:44:50         0.00      0.00      0.00      0.07
20:44:55         0.00      0.00      0.00      0.13
20:45:00         0.00      0.00      0.00      0.04
20:45:05         0.00      0.00      0.00      0.18
20:45:10         0.00      0.00      0.00      0.20
20:45:15         0.00      0.00      0.00      0.21
20:45:20         0.00      0.00      0.00      0.22
20:45:25         0.00      0.00      0.00      0.19
20:45:30         0.00      0.00      0.00      0.13
20:45:35         0.00      0.00      0.00      0.21
20:45:40         0.00      0.00      0.00      0.33
20:45:45         0.00      0.00      0.00      0.39
20:45:50         0.00      0.00      0.00      0.31
20:45:55         0.00      0.00      0.00      0.28
20:46:00         0.00      0.00      0.00      0.20
20:46:05         0.00      0.00      0.00      0.25
20:46:10         0.00      0.00      0.00      0.45
20:46:15         0.14      0.03      0.00      0.63
20:46:20         0.09      0.02      0.00      0.23
20:46:25         0.05      0.02      0.00      0.10
20:46:30         0.03      0.02      0.00      0.07
20:46:35         0.01      0.02      0.00      0.18
20:46:40         0.01      0.01      0.00      0.05
20:46:45         0.00      0.01      0.00      0.07
20:46:50         0.00      0.01      0.00      0.07
20:46:55         0.00      0.01      0.00      0.11
20:47:00         0.00      0.01      0.00      0.12
20:47:05         0.00      0.01      0.00      0.05
20:47:10         0.00      0.00      0.00      0.04
20:47:15         0.00      0.00      0.00      0.11
20:47:20         0.00      0.00      0.00      0.08
20:47:25         0.00      0.00      0.00      0.12
20:47:30         0.00      0.00      0.00      0.09
20:47:35         0.00      0.00      0.00      0.12
20:47:40         0.00      0.00      0.00      0.05
20:47:45         0.00      0.00      0.00      0.11
20:47:50         0.00      0.00      0.00      0.03
20:47:55         0.00      0.00      0.00      0.06
20:48:00         0.00      0.00      0.00      0.17
20:48:05         0.00      0.00      0.00      0.16
20:48:10         0.00      0.00      0.00      0.04
20:48:15         0.00      0.00      0.00      0.10
20:48:20         0.00      0.00      0.00      0.05
20:48:25         0.00      0.00      0.00      0.13
20:48:30         0.00      0.00      0.00      0.12
20:48:35         0.00      0.00      0.00      0.14
20:48:40         0.00      0.00      0.00      0.10
20:48:45         0.00      0.00      0.00      0.12
20:48:50         0.00      0.00      0.00      0.03
20:48:55         0.00      0.00      0.00      0.28
20:49:00         0.00      0.00      0.00      0.26
20:49:05         0.00      0.00      0.00      0.08
20:49:10         0.00      0.00      0.00      0.07
20:49:15         0.00      0.00      0.00      0.08
20:49:20         0.00      0.00      0.00      0.05
20:49:25         0.00      0.00      0.00      0.04
20:49:30         0.00      0.00      0.00      0.06
20:49:35         0.00      0.00      0.00      0.03
20:49:40         0.00      0.00      0.00      0.04
20:49:45         0.00      0.00      0.00      0.09
20:49:50         0.00      0.00      0.00      0.06
20:49:55         0.00      0.00      0.00      0.07
20:50:00         0.00      0.00      0.00      0.21
20:50:05         0.00      0.00      0.00      0.07
20:50:10         0.00      0.00      0.00      0.02
20:50:15         0.00      0.00      0.00      0.11
20:50:20         0.00      0.00      0.00      0.05
20:50:25         0.00      0.00      0.00      0.12
20:50:30         0.00      0.00      0.00      0.09
20:50:35         0.00      0.00      0.00      0.06
20:50:40         0.00      0.00      0.00      0.06
20:50:45         0.00      0.00      0.00      0.04
20:50:50         0.00      0.00      0.00      0.09
20:50:55         0.00      0.00      0.00      0.34
20:51:00         0.00      0.00      0.00      0.10
20:51:05         0.00      0.00      0.00      0.08
20:51:10         0.00      0.00      0.00      0.06
20:51:15         0.00      0.00      0.00      0.02
20:51:20         0.00      0.00      0.00      0.07
20:51:25         0.00      0.00      0.00      0.10
20:51:30         0.00      0.00      0.00      0.04
20:51:35         0.00      0.00      0.00      0.07
20:51:40         0.00      0.00      0.00      0.08
20:51:45         0.00      0.00      0.00      0.06
20:51:50         0.00      0.00      0.00      0.07
20:51:55         0.00      0.00      0.00      0.08
20:52:00         0.00      0.00      0.00      0.10
20:52:05         0.00      0.00      0.00      0.06
20:52:10         0.00      0.00      0.00      0.05
20:52:15         0.00      0.00      0.00      0.07
20:52:20         0.00      0.00      0.00      0.11
20:52:25         0.00      0.00      0.00      0.06
20:52:30         0.00      0.00      0.00      0.06
20:52:35         0.00      0.00      0.00      0.07
20:52:40         0.00      0.00      0.00      0.04
20:52:45         0.00      0.00      0.00      0.16
20:52:50         0.00      0.00      0.00      0.04
20:52:55         0.00      0.00      0.00      0.06
20:53:00         0.00      0.00      0.00      0.04
20:53:05         0.00      0.00      0.00      0.28
20:53:10         0.00      0.00      0.00      0.06
20:53:15         0.00      0.00      0.00      0.12
20:53:20         0.00      0.00      0.00      0.07
20:53:25         0.00      0.00      0.00      0.13
20:53:30         0.00      0.00      0.00      0.09
20:53:35         0.00      0.00      0.00      0.21
20:53:40         0.00      0.00      0.00      0.05
20:53:45         0.00      0.00      0.00      0.10
20:53:50         0.00      0.00      0.00      0.07
20:53:55         0.00      0.00      0.00      0.14
20:54:00         0.00      0.00      0.00      0.03
20:54:05         0.00      0.00      0.00      0.13
20:54:10         0.00      0.00      0.00      0.06
20:54:15         0.00      0.00      0.00      0.04
20:54:20         0.00      0.00      0.00      0.26
20:54:25         0.00      0.00      0.00      0.08
20:54:30         0.00      0.00      0.00      0.04
20:54:35         0.00      0.00      0.00      0.07
20:54:40         0.00      0.00      0.00      0.03
20:54:45         0.00      0.00      0.00      0.09
20:54:50         0.00      0.00      0.00      0.10
20:54:55         0.00      0.00      0.00      0.07
20:55:00         0.00      0.00      0.00      0.07
20:55:05         0.00      0.00      0.00      0.04
20:55:10         0.00      0.00      0.00      0.08
20:55:15         0.00      0.00      0.00      0.22
20:55:20         0.00      0.00      0.00      0.03
20:55:25         0.00      0.00      0.00      0.18
20:55:30         0.00      0.00      0.00      0.07
20:55:35         0.00      0.00      0.00      0.19
20:55:40         0.00      0.00      0.00      0.14
20:55:45         0.00      0.00      0.00      0.21
20:55:50         0.00      0.00      0.00      0.11
20:55:55         0.00      0.00      0.00      0.22
20:56:00         0.00      0.00      0.00      0.17
20:56:05         0.00      0.00      0.00      0.17
20:56:10         0.00      0.00      0.00      0.13
20:56:15         0.00      0.00      0.00      0.23
20:56:20         0.00      0.00      0.00      0.24
20:56:25         0.00      0.00      0.00      0.07
20:56:30         0.00      0.00      0.00      0.09
20:56:35         0.00      0.00      0.00      0.05
20:56:40         0.00      0.00      0.00      0.07
20:56:45         0.00      0.00      0.00      0.09
