Linux 7.2.0-rc5-virtme (virtme-ng) 	08/01/26 	_x86_64_	(12 CPU)

17:48:48     %scpu-10  %scpu-60 %scpu-300     %scpu
18:09:08         0.00      0.00      0.00      0.03
18:09:13         0.00      0.00      0.00      0.10
18:09:18         0.00      0.00      0.00      0.07
18:09:23         0.00      0.00      0.00      0.09
18:09:28         0.00      0.00      0.00      0.05
18:09:33         0.00      0.00      0.00      0.08
18:09:38         0.00      0.00      0.00      0.06
18:09:43         0.00      0.00      0.00      0.15
18:09:48         0.00      0.00      0.00      0.03
18:09:53         0.00      0.00      0.00      0.06
18:09:58         0.00      0.00      0.00      0.10
18:10:03         0.00      0.00      0.00      0.08
18:10:08         0.00      0.00      0.00      0.05
18:10:13         0.00      0.00      0.00      0.11
18:10:18         0.00      0.00      0.00      0.05
18:10:23         0.00      0.00      0.00      0.08
18:10:28         0.00      0.00      0.00      0.10
18:10:33         0.00      0.00      0.00      0.10
18:10:38         0.00      0.00      0.00      0.03
18:10:43         0.00      0.00      0.00      0.06
18:10:48         0.00      0.00      0.00      0.11
18:10:53         0.00      0.00      0.00      0.02
18:10:58         0.00      0.00      0.00      0.05
18:11:03         0.00      0.00      0.00      0.06
18:11:08         0.00      0.00      0.00      0.04
18:11:13         0.00      0.00      0.00      0.08
18:11:18         0.00      0.00      0.00      0.09
18:11:23         0.00      0.00      0.00      0.05
18:11:28         0.00      0.00      0.00      0.06
18:11:33         0.00      0.00      0.00      0.05
18:11:38         0.00      0.00      0.00      0.05
18:11:43         0.00      0.00      0.00      0.04
18:11:48         0.00      0.00      0.00      0.10
18:11:53         0.00      0.00      0.00      0.10
18:11:58         0.00      0.00      0.00      0.03
18:12:03         0.00      0.00      0.00      0.04
18:12:08         0.00      0.00      0.00      0.08
18:12:13         0.00      0.00      0.00      0.08
18:12:18         0.00      0.00      0.00      0.06
18:12:23         0.00      0.00      0.00      0.09
18:12:28         0.00      0.00      0.00      0.07
18:12:33         0.00      0.00      0.00      0.05
18:12:38         0.00      0.00      0.00      0.03
18:12:43         0.00      0.00      0.00      0.04
18:12:48         0.00      0.00      0.00      0.09
18:12:53         0.00      0.00      0.00      0.05
18:12:58         0.00      0.00      0.00      0.09
18:13:03         0.00      0.00      0.00      0.09
18:13:08         0.00      0.00      0.00      0.07
18:13:13         0.00      0.00      0.00      0.03
18:13:18         0.00      0.00      0.00      0.08
18:13:23         0.00      0.00      0.00      0.07
18:13:28         0.00      0.00      0.00      0.05
18:13:33         0.00      0.00      0.00      0.09
18:13:38         0.00      0.00      0.00      0.05
18:13:43         0.00      0.00      0.00      0.04
18:13:48         0.00      0.00      0.00      0.05
18:13:53         0.00      0.00      0.00      0.10
18:13:58         0.00      0.00      0.00      0.09
18:14:03         0.00      0.00      0.00      0.06
18:14:08         0.00      0.00      0.00      0.05
18:14:13         0.00      0.00      0.00      0.30
18:14:18         0.00      0.00      0.00      0.01
18:14:23         0.00      0.00      0.00      0.07
18:14:28         0.00      0.00      0.00      0.09
18:14:33         0.00      0.00      0.00      0.07
18:14:38         0.00      0.00      0.00      0.02
18:14:43         0.00      0.00      0.00      0.05
18:14:48         0.00      0.00      0.00      0.06
18:14:53         0.00      0.00      0.00      0.03
18:14:58         0.00      0.00      0.00      0.00
18:15:03         0.00      0.00      0.00      0.01
18:15:08         0.00      0.00      0.00      0.12
18:15:13         0.00      0.00      0.00      0.07
18:15:18         0.00      0.00      0.00      0.19
18:15:23         0.00      0.00      0.00      0.05
18:15:28         0.00      0.00      0.00      0.10
18:15:33         0.00      0.00      0.00      0.18
18:15:38         0.00      0.00      0.00      0.04
18:15:43         0.00      0.00      0.00      0.01
18:15:48         0.00      0.00      0.00      0.03
18:15:53         0.00      0.00      0.00      0.06
18:15:58         0.00      0.00      0.00      0.03
18:16:03         0.00      0.00      0.00      0.05
18:16:08         0.00      0.00      0.00      0.01
18:16:13         0.00      0.00      0.00      0.06
18:16:18         0.00      0.00      0.00      0.06
18:16:23         0.00      0.00      0.00      0.02
18:16:28         0.00      0.00      0.00      0.05
18:16:33         0.00      0.00      0.00      0.06
18:16:38         0.00      0.00      0.00      0.09
18:16:43         0.00      0.00      0.00      0.11
18:16:48         0.00      0.00      0.00      0.03
18:16:53         0.00      0.00      0.00      0.07
18:16:58         0.00      0.00      0.00      0.09
18:17:03         0.00      0.00      0.00      0.06
18:17:08         0.00      0.00      0.00      0.05
18:17:13         0.00      0.00      0.00      0.03
18:17:18         0.00      0.00      0.00      0.02
18:17:23         0.00      0.00      0.00      0.36
18:17:28         0.00      0.00      0.00      0.05
18:17:33         0.00      0.00      0.00      0.03
18:17:38         0.00      0.00      0.00      0.07
18:17:43         0.00      0.00      0.00      0.07
18:17:48         0.00      0.00      0.00      0.08
18:17:53         0.00      0.00      0.00      0.08
18:17:58         0.00      0.00      0.00      0.02
18:18:03         0.00      0.00      0.00      0.08
18:18:08         0.00      0.00      0.00      0.05
18:18:13         0.00      0.00      0.00      0.08
18:18:18         0.00      0.00      0.00      0.06
18:18:23         0.00      0.00      0.00      0.09
18:18:28         0.00      0.00      0.00      0.06
18:18:33         0.00      0.00      0.00      0.06
18:18:38         0.00      0.00      0.00      0.04
18:18:43         0.00      0.00      0.00      0.10
18:18:48         0.00      0.00      0.00      0.11
18:18:53         0.00      0.00      0.00      0.06
18:18:58         0.00      0.00      0.00      0.04
18:19:03         0.00      0.00      0.00      0.13
18:19:08         0.00      0.00      0.00      0.08
18:19:13         0.00      0.00      0.00      0.03
18:19:18         0.00      0.00      0.00      0.06
18:19:23         0.00      0.00      0.00      0.07
18:19:28         0.00      0.00      0.00      0.04
18:19:33         0.00      0.00      0.00      0.02
18:19:38         0.00      0.00      0.00      0.04
18:19:43         0.00      0.00      0.00      0.03
18:19:48         0.00      0.00      0.00      0.09
18:19:53         0.00      0.00      0.00      0.05
18:19:58         0.00      0.00      0.00      0.05
18:20:03         0.00      0.00      0.00      0.13
18:20:08         0.00      0.00      0.00      0.06
18:20:13         0.00      0.00      0.00      0.13
18:20:18         0.00      0.00      0.00      0.04
18:20:23         0.00      0.00      0.00      0.03
18:20:28         0.00      0.00      0.00      0.06
18:20:33         0.00      0.00      0.00      0.09
18:20:38         0.00      0.00      0.00      0.01
18:20:43         0.00      0.00      0.00      0.04
18:20:48         0.00      0.00      0.00      0.03
18:20:53         0.00      0.00      0.00      0.05
18:20:58         0.00      0.00      0.00      0.02
18:21:03         0.00      0.00      0.00      0.07
18:21:08         0.00      0.00      0.00      0.03
18:21:13         0.00      0.00      0.00      0.04
18:21:18         0.00      0.00      0.00      0.07
18:21:23         0.00      0.00      0.00      0.05
18:21:28         0.00      0.00      0.00      0.06
18:21:33         0.00      0.00      0.00      0.02
18:21:38         0.00      0.00      0.00      0.05
18:21:43         0.00      0.00      0.00      0.15
18:21:48         0.00      0.00      0.00      0.07
18:21:53         0.00      0.00      0.00      0.02
18:21:58         0.00      0.00      0.00      0.05
18:22:03         0.00      0.00      0.00      0.02
18:22:08         0.00      0.00      0.00      0.06
18:22:13         0.00      0.00      0.00      0.04
18:22:18         0.00      0.00      0.00      0.04
18:22:23         0.00      0.00      0.00      0.05
18:22:28         0.00      0.00      0.00      0.09
18:22:33         0.00      0.00      0.00      0.02
18:22:38         0.00      0.00      0.00      0.08
18:22:43         0.00      0.00      0.00      0.02
18:22:48         0.00      0.00      0.00      0.04
18:22:53         0.00      0.00      0.00      0.20
18:22:58         0.00      0.00      0.00      0.01
18:23:03         0.00      0.00      0.00      0.02
18:23:08         0.00      0.00      0.00      0.04
18:23:13         0.00      0.00      0.00      0.02
18:23:18         0.00      0.00      0.00      0.09
18:23:23         0.00      0.00      0.00      0.05
18:23:28         0.00      0.00      0.00      0.07
18:23:33         0.00      0.00      0.00      0.09
18:23:38         0.00      0.00      0.00      0.28
18:23:43         0.00      0.00      0.00      0.02
18:23:48         0.00      0.00      0.00      0.00
18:23:53         0.00      0.00      0.00      0.05
18:23:58         0.00      0.00      0.00      0.06
18:24:03         0.00      0.00      0.00      0.06
18:24:08         0.00      0.00      0.00      0.01
18:24:13         0.00      0.00      0.00      0.05
18:24:18         0.00      0.00      0.00      0.05
18:24:23         0.00      0.00      0.00      0.11
18:24:28         0.00      0.00      0.00      0.07
18:24:33         0.00      0.00      0.00      0.02
18:24:38         0.00      0.00      0.00      0.06
18:24:43         0.00      0.00      0.00      0.06
18:24:48         0.00      0.00      0.00      0.03
18:24:53         0.00      0.00      0.00      0.02
18:24:58         0.00      0.00      0.00      0.07
18:25:03         0.00      0.00      0.00      0.04
