Linux 7.2.0-rc5-virtme (virtme-ng) 	08/01/26 	_x86_64_	(12 CPU)

21:18:51     %scpu-10  %scpu-60 %scpu-300     %scpu
21:41:26         0.00      0.00      0.00      0.06
21:41:31         0.00      0.00      0.00      0.04
21:41:36         0.00      0.00      0.00      0.03
21:41:41         0.00      0.00      0.00      0.04
21:41:46         0.00      0.00      0.00      0.04
21:41:51         0.00      0.00      0.00      0.11
21:41:56         0.00      0.00      0.00      0.03
21:42:01         0.00      0.00      0.00      0.05
21:42:06         0.00      0.00      0.00      0.07
21:42:11         0.00      0.00      0.00      0.08
21:42:16         0.00      0.00      0.00      0.05
21:42:21         0.00      0.00      0.00      0.16
21:42:26         0.00      0.00      0.00      0.12
21:42:31         0.00      0.00      0.00      0.04
21:42:36         0.00      0.00      0.00      0.03
21:42:41         0.00      0.00      0.00      0.08
21:42:46         0.00      0.00      0.00      0.08
21:42:51         0.00      0.00      0.00      0.02
21:42:56         0.00      0.00      0.00      0.05
21:43:01         0.00      0.00      0.00      0.04
21:43:06         0.00      0.00      0.00      0.06
21:43:11         0.00      0.00      0.00      0.04
21:43:16         0.00      0.00      0.00      0.06
21:43:21         0.00      0.00      0.00      0.25
21:43:26         0.00      0.00      0.00      0.07
21:43:31         0.00      0.00      0.00      0.09
21:43:36         0.00      0.00      0.00      0.05
21:43:41         0.00      0.00      0.00      0.08
21:43:46         0.00      0.00      0.00      0.08
21:43:51         0.00      0.00      0.00      0.03
21:43:56         0.00      0.00      0.00      0.06
21:44:01         0.00      0.00      0.00      0.02
21:44:06         0.00      0.00      0.00      0.03
21:44:11         0.00      0.00      0.00      0.04
21:44:16         0.00      0.00      0.00      0.06
21:44:21         0.00      0.00      0.00      0.02
21:44:26         0.00      0.00      0.00      0.07
21:44:31         0.00      0.00      0.00      0.13
21:44:36         0.00      0.00      0.00      0.05
21:44:41         0.00      0.00      0.00      0.03
21:44:46         0.00      0.00      0.00      0.11
21:44:51         0.00      0.00      0.00      0.04
21:44:56         0.00      0.00      0.00      0.03
21:45:01         0.00      0.00      0.00      0.00
21:45:06         0.00      0.00      0.00      0.00
21:45:11         0.00      0.00      0.00      0.07
21:45:16         0.00      0.00      0.00      0.19
21:45:21         0.00      0.00      0.00      0.08
21:45:26         0.00      0.00      0.00      0.14
21:45:31         0.00      0.00      0.00      0.04
21:45:36         0.00      0.00      0.00      0.10
21:45:41         0.00      0.00      0.00      0.09
21:45:46         0.00      0.00      0.00      0.13
21:45:51         0.00      0.00      0.00      0.07
21:45:56         0.00      0.00      0.00      0.03
21:46:01         0.00      0.00      0.00      0.05
21:46:06         0.00      0.00      0.00      0.08
21:46:11         0.00      0.00      0.00      0.12
21:46:16         0.00      0.00      0.00      0.07
21:46:21         0.00      0.00      0.00      0.06
21:46:26         0.00      0.00      0.00      0.07
21:46:31         0.00      0.00      0.00      0.09
21:46:36         0.00      0.00      0.00      0.11
21:46:41         0.00      0.00      0.00      0.12
21:46:46         0.00      0.00      0.00      0.09
21:46:51         0.00      0.00      0.00      0.09
21:46:56         0.00      0.00      0.00      0.02
21:47:01         0.00      0.00      0.00      0.05
21:47:06         0.00      0.00      0.00      0.06
21:47:11         0.00      0.00      0.00      0.04
21:47:16         0.00      0.00      0.00      0.07
21:47:21         0.00      0.00      0.00      0.04
21:47:26         0.00      0.00      0.00      0.06
21:47:31         0.00      0.00      0.00      0.01
21:47:36         0.00      0.00      0.00      0.06
21:47:41         0.00      0.00      0.00      0.05
21:47:46         0.00      0.00      0.00      0.11
21:47:51         0.00      0.00      0.00      0.38
21:47:56         0.00      0.00      0.00      0.08
21:48:01         0.00      0.00      0.00      0.08
21:48:06         0.00      0.00      0.00      0.10
21:48:11         0.00      0.00      0.00      0.07
21:48:16         0.00      0.00      0.00      0.05
21:48:21         0.00      0.00      0.00      0.09
21:48:26         0.00      0.00      0.00      0.07
21:48:31         0.00      0.00      0.00      0.07
21:48:36         0.00      0.00      0.00      0.12
21:48:41         0.00      0.00      0.00      0.04
21:48:46         0.00      0.00      0.00      0.07
21:48:51         0.00      0.00      0.00      0.12
21:48:56         0.00      0.00      0.00      0.08
21:49:01         0.00      0.00      0.00      0.06
21:49:06         0.00      0.00      0.00      0.27
21:49:11         0.00      0.00      0.00      0.12
21:49:16         0.00      0.00      0.00      0.03
21:49:21         0.00      0.00      0.00      0.08
21:49:26         0.00      0.00      0.00      0.06
21:49:31         0.00      0.00      0.00      0.14
21:49:36         0.00      0.00      0.00      0.02
21:49:41         0.00      0.00      0.00      0.07
21:49:46         0.00      0.00      0.00      0.15
21:49:51         0.00      0.00      0.00      0.11
21:49:56         0.00      0.00      0.00      0.06
21:50:01         0.00      0.00      0.00      0.06
21:50:06         0.00      0.00      0.00      0.04
21:50:11         0.00      0.00      0.00      0.08
21:50:16         0.00      0.00      0.00      0.04
21:50:21         0.00      0.00      0.00      0.05
21:50:26         0.00      0.00      0.00      0.06
21:50:31         0.00      0.00      0.00      0.02
21:50:36         0.00      0.00      0.00      0.05
21:50:41         0.00      0.00      0.00      0.04
21:50:46         0.00      0.00      0.00      0.03
21:50:51         0.00      0.00      0.00      0.01
21:50:56         0.00      0.00      0.00      0.08
21:51:01         0.00      0.00      0.00      0.06
21:51:06         0.00      0.00      0.00      0.05
21:51:11         0.00      0.00      0.00      0.02
21:51:16         0.00      0.00      0.00      0.10
21:51:21         0.00      0.00      0.00      0.04
21:51:26         0.00      0.00      0.00      0.05
21:51:31         0.00      0.00      0.00      0.05
21:51:36         0.00      0.00      0.00      0.04
21:51:41         0.00      0.00      0.00      0.05
21:51:46         0.00      0.00      0.00      0.04
21:51:51         0.00      0.00      0.00      0.02
21:51:56         0.00      0.00      0.00      0.08
21:52:01         0.00      0.00      0.00      0.10
21:52:06         0.00      0.00      0.00      0.04
21:52:11         0.00      0.00      0.00      0.05
21:52:16         0.00      0.00      0.00      0.05
21:52:21         0.00      0.00      0.00      0.04
21:52:26         0.00      0.00      0.00      0.02
21:52:31         0.00      0.00      0.00      0.04
21:52:36         0.00      0.00      0.00      0.07
21:52:41         0.00      0.00      0.00      0.05
21:52:46         0.00      0.00      0.00      0.06
21:52:51         0.00      0.00      0.00      0.02
21:52:56         0.00      0.00      0.00      0.11
