Linux 7.2.0-rc5-virtme (virtme-ng) 	08/02/26 	_x86_64_	(4 CPU)

06:07:14     %scpu-10  %scpu-60 %scpu-300     %scpu
06:45:39         0.00      0.00      0.00      0.01
06:45:44         0.00      0.00      0.00      0.01
06:45:49         0.00      0.00      0.00      0.01
06:45:54         0.00      0.00      0.00      0.03
06:45:59         0.00      0.00      0.00      0.01
06:46:04         0.00      0.00      0.00      0.01
06:46:09         0.00      0.00      0.00      0.01
06:46:14         0.00      0.00      0.00      0.01
06:46:19         0.00      0.00      0.00      0.01
06:46:24         0.00      0.00      0.00      0.01
06:46:29         0.00      0.00      0.00      0.01
06:46:34         0.00      0.00      0.00      0.01
06:46:39         0.00      0.00      0.00      0.01
06:46:44         0.00      0.00      0.00      0.01
06:46:49         0.00      0.00      0.00      0.01
06:46:54         0.00      0.00      0.00      0.01
06:46:59         0.00      0.00      0.00      0.01
06:47:04         0.00      0.00      0.00      0.01
06:47:09         0.00      0.00      0.00      0.01
06:47:14         0.00      0.00      0.00      0.01
06:47:19         0.00      0.00      0.00      0.01
06:47:24         0.00      0.00      0.00      0.01
06:47:29         0.00      0.00      0.00      0.01
06:47:34         0.00      0.00      0.00      0.01
06:47:39         0.00      0.00      0.00      0.01
06:47:44         0.00      0.00      0.00      0.01
06:47:49         0.00      0.00      0.00      0.01
06:47:54         0.00      0.00      0.00      0.01
06:47:59         0.00      0.00      0.00      0.01
06:48:04         0.00      0.00      0.00      0.01
06:48:09         0.00      0.00      0.00      0.01
06:48:14         0.00      0.00      0.00      0.01
06:48:19         0.00      0.00      0.00      0.01
06:48:24         0.00      0.00      0.00      0.01
06:48:29         0.00      0.00      0.00      0.01
06:48:34         0.00      0.00      0.00      0.01
06:48:39         0.00      0.00      0.00      0.01
06:48:44         0.00      0.00      0.00      0.01
06:48:49         0.00      0.00      0.00      0.01
06:48:54         0.00      0.00      0.00      0.01
06:48:59         0.00      0.00      0.00      0.03
06:49:04         0.00      0.00      0.00      0.01
06:49:09         0.00      0.00      0.00      0.01
06:49:14         0.00      0.00      0.00      0.01
06:49:19         0.00      0.00      0.00      0.01
06:49:24         0.00      0.00      0.00      0.01
06:49:29         0.00      0.00      0.00      0.01
06:49:34         0.00      0.00      0.00      0.01
06:49:39         0.00      0.00      0.00      0.01
06:49:44         0.00      0.00      0.00      0.01
06:49:49         0.00      0.00      0.00      0.01
06:49:54         0.00      0.00      0.00      0.01
06:49:59         0.00      0.00      0.00      0.01
06:50:04         0.00      0.00      0.00      0.01
06:50:09         0.00      0.00      0.00      0.01
